username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,mentions,hashtags,geo,urls
derekmoran_,Vote4Alok,"Dr. Alok, do you remember Justin Trudeau's 'Open Letter to Canadians?' You should run on this, but, with the promise that, you will actually FOLLOW THROUGH on it yourself #cdnpoli https://www.liberal.ca/prime-minister-justin-trudeaus-open-letter-to-canadians/ …",0,0,0,1169037331426361344,https://twitter.com/derekmoran_/status/1169037331426361344,496542809,2019-09-03 23:59:54+00:00,Tue Sep 03 23:59:54 +0000 2019,,#cdnpoli,,https://www.liberal.ca/prime-minister-justin-trudeaus-open-letter-to-canadians/
GaryCgy1,WeAreCanProud,@WeAreCanProud supports Hasan Minhaj attacks on the oil sands now. LOL WOW. #cdnpoli,0,0,1,1169037211947298816,https://twitter.com/GaryCgy1/status/1169037211947298816,1093211611391700992,2019-09-03 23:59:25+00:00,Tue Sep 03 23:59:25 +0000 2019,@WeAreCanProud,#cdnpoli,,
richardajabu,richardajabu,https://twitter.com/richardajabu/status/1169032422048116741 … #elxn43 #cdnpoli #nbpoli,0,0,0,1169037207111380996,https://twitter.com/richardajabu/status/1169037207111380996,259582197,2019-09-03 23:59:24+00:00,Tue Sep 03 23:59:24 +0000 2019,,#elxn43 #cdnpoli #nbpoli,,https://twitter.com/richardajabu/status/1169032422048116741
RetweetPQ_Qc,ValTremblay_Sag,#BlocQc #PolQc #PolCan RT ValTremblay_Sag: Voilà qui est représentatif de l’avancement du BlocQuebecois dans les derniers mois et surtout depuis l’arrivée de yfblanchet ! Ce qui est indéfectible c’est ma conviction profonde et rationnelle que la seule v… https://twitter.com/BlocQuebecois/status/1169036500077621250 …,8,10,1,1169037184952930304,https://twitter.com/RetweetPQ_Qc/status/1169037184952930304,2301948846,2019-09-03 23:59:19+00:00,Tue Sep 03 23:59:19 +0000 2019,,#BlocQc #PolQc #PolCan,,https://twitter.com/BlocQuebecois/status/1169036500077621250
TylerDucharme,MentalChrysalis,#cdnpoli #votePPChttps://twitter.com/MentalChrysalis/status/1169001300492787714 …,0,0,0,1169037181375197187,https://twitter.com/TylerDucharme/status/1169037181375197187,399893643,2019-09-03 23:59:18+00:00,Tue Sep 03 23:59:18 +0000 2019,,#cdnpoli #votePPChttps,,https://twitter.com/MentalChrysalis/status/1169001300492787714
ShiteGrampSays,chrisveronik,Scheer supports all laws gov . - won’t change same sex laws - won’t repeal women’s rights - supports immigration - taxes/trickle down - where’d u get that? Btw LPC tax changes brought in less tax from top 1% - has a climate plan. Note taxing isn’t a plan. #cdnpoli #elxn43,2,7,2,1169037117252669440,https://twitter.com/ShiteGrampSays/status/1169037117252669440,769658431347236864,2019-09-03 23:59:03+00:00,Tue Sep 03 23:59:03 +0000 2019,,#cdnpoli #elxn43,,
GonnaFry,,Conservatives are lying: Brits Deny Reports That Child Killer Will Be Sent To Canada #cdnpoli https://www.huffingtonpost.ca/entry/united-kingdom-denies-reports-child-murderer_ca_5d6ecbade4b09bbc9ef5f69c …,0,0,0,1169037096075628545,https://twitter.com/GonnaFry/status/1169037096075628545,744559800877342730,2019-09-03 23:58:58+00:00,Tue Sep 03 23:58:58 +0000 2019,,#cdnpoli,,https://www.huffingtonpost.ca/entry/united-kingdom-denies-reports-child-murderer_ca_5d6ecbade4b09bbc9ef5f69c
cmusician,TabathaSouthey,#cdnpoli #elxn43 https://twitter.com/TabathaSouthey/status/1169028308488638464 …,0,1,0,1169037085023641600,https://twitter.com/cmusician/status/1169037085023641600,255067647,2019-09-03 23:58:55+00:00,Tue Sep 03 23:58:55 +0000 2019,,#cdnpoli #elxn43,,https://twitter.com/TabathaSouthey/status/1169028308488638464
TerriChu,NavdeepSBains,Friendly reminder that without public schools we would have a lot more dumb people. We have enough already. #cdnpoli https://twitter.com/NavdeepSBains/status/1168887263494844416 …,0,1,0,1169036960897388551,https://twitter.com/TerriChu/status/1169036960897388551,22502626,2019-09-03 23:58:25+00:00,Tue Sep 03 23:58:25 +0000 2019,,#cdnpoli,,https://twitter.com/NavdeepSBains/status/1168887263494844416
DoyleG80,,Sheesh. Does Justin ever get a break. #cdnpoli #cdnmedia #elxn43 http://nationalpost.com/wcm/4fa1cc42-c5a7-48d0-9096-f04b78c324b8 … via @nationalpost,0,0,0,1169036889480806400,https://twitter.com/DoyleG80/status/1169036889480806400,2565776436,2019-09-03 23:58:08+00:00,Tue Sep 03 23:58:08 +0000 2019,@nationalpost,#cdnpoli #cdnmedia #elxn43,,http://nationalpost.com/wcm/4fa1cc42-c5a7-48d0-9096-f04b78c324b8
